epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6673,1.35541,7.13473,1.40799,0.09224,0.22124,0.08538,0.05797,1.25303,6.31323,1.18547,0.06832,0.00032,0.00032
2,25.8007,1.22813,4.99067,1.22013,0.23036,0.3553,0.2049,0.14682,1.15791,5.02025,1.16414,0.0356457,0.00064571,0.00064571
3,38.1198,1.21993,4.61098,1.22705,0.20042,0.3522,0.20308,0.142,1.09725,8.72345,1.1857,0.00296706,0.000967064,0.000967064
4,49.9117,1.21105,4.47828,1.24468,0.35192,0.36912,0.32853,0.23507,1.06198,4.39283,1.14914,0.0009802,0.0009802,0.0009802
5,61.6483,1.16548,4.05444,1.18186,0.30775,0.48012,0.32931,0.22432,1.06019,4.47572,1.1398,0.0009736,0.0009736,0.0009736
6,73.4063,1.16214,4.06354,1.16572,0.38217,0.35837,0.32278,0.22492,1.07118,4.03561,1.15297,0.000967,0.000967,0.000967
7,85.1938,1.17135,3.76599,1.23768,0.40282,0.39417,0.41964,0.30313,1.02021,3.63943,1.14118,0.0009604,0.0009604,0.0009604
8,96.9111,1.16954,3.65109,1.2248,0.37528,0.41378,0.39028,0.26924,1.06982,3.95523,1.14819,0.0009538,0.0009538,0.0009538
9,108.656,1.09344,3.55165,1.15183,0.31324,0.45007,0.39472,0.28203,1.05206,4.51358,1.16318,0.0009472,0.0009472,0.0009472
10,121.97,1.0933,3.39809,1.14787,0.4278,0.58921,0.47668,0.31808,1.00775,3.46344,1.12841,0.0009406,0.0009406,0.0009406
11,136.304,1.14032,3.49768,1.18519,0.493,0.48161,0.45064,0.29742,1.05462,3.67466,1.16835,0.000934,0.000934,0.000934
12,150.533,1.11508,3.3396,1.17225,0.39371,0.51132,0.44497,0.30202,1.05298,3.64707,1.18339,0.0009274,0.0009274,0.0009274
13,165.036,1.0779,3.24731,1.14785,0.41148,0.57202,0.4729,0.30014,1.03582,3.45516,1.15177,0.0009208,0.0009208,0.0009208
14,178.895,1.13437,3.43141,1.16806,0.37828,0.48514,0.41056,0.27387,1.06604,3.92085,1.16998,0.0009142,0.0009142,0.0009142
15,189.398,1.08144,3.27383,1.15237,0.39378,0.58592,0.47535,0.32797,1.00536,4.05917,1.12834,0.0009076,0.0009076,0.0009076
16,199.922,1.08091,3.10363,1.14696,0.43157,0.5755,0.48177,0.33826,1.01998,3.38686,1.12851,0.000901,0.000901,0.000901
17,210.337,1.03266,3.15196,1.13892,0.42581,0.59005,0.48646,0.32935,0.97784,3.18924,1.11774,0.0008944,0.0008944,0.0008944
18,220.707,1.00595,2.93737,1.12538,0.49515,0.53817,0.52399,0.35784,0.96132,3.77204,1.10579,0.0008878,0.0008878,0.0008878
19,231.25,0.99487,2.88961,1.11596,0.44851,0.63423,0.5337,0.37891,0.93278,3.8499,1.08919,0.0008812,0.0008812,0.0008812
20,241.738,1.00247,2.81653,1.12867,0.48069,0.59852,0.52984,0.36543,0.94866,3.78851,1.08612,0.0008746,0.0008746,0.0008746
21,252.346,0.99064,2.76067,1.0968,0.45293,0.4784,0.46001,0.33762,0.95491,3.16454,1.07687,0.000868,0.000868,0.000868
22,262.851,0.96034,2.71983,1.09112,0.4409,0.58424,0.50755,0.3598,0.96181,3.35355,1.08998,0.0008614,0.0008614,0.0008614
23,273.374,0.98868,2.80735,1.0728,0.58233,0.42765,0.47016,0.34009,0.96086,3.31679,1.07309,0.0008548,0.0008548,0.0008548
24,283.672,0.98444,2.66444,1.05998,0.48701,0.56865,0.51461,0.35917,0.97057,3.21657,1.09591,0.0008482,0.0008482,0.0008482
25,294.001,1.00256,2.73971,1.11278,0.4718,0.61071,0.54212,0.37688,1.00678,3.10488,1.12345,0.0008416,0.0008416,0.0008416
26,304.255,0.99518,2.8347,1.09787,0.49139,0.56176,0.54078,0.38853,0.97274,3.14251,1.10719,0.000835,0.000835,0.000835
27,314.746,1.00611,2.70367,1.09586,0.44578,0.61636,0.54042,0.38139,0.9529,3.11387,1.09028,0.0008284,0.0008284,0.0008284
28,324.976,0.98478,2.60209,1.0759,0.42599,0.58606,0.51884,0.37283,0.95878,3.20141,1.09729,0.0008218,0.0008218,0.0008218
29,335.252,0.92301,2.58596,1.05871,0.48223,0.55524,0.50026,0.36272,0.98528,3.29801,1.1121,0.0008152,0.0008152,0.0008152
30,345.74,0.96217,2.50548,1.07343,0.52155,0.57977,0.55899,0.39979,0.94631,3.33156,1.09817,0.0008086,0.0008086,0.0008086
31,356.34,0.94503,2.69427,1.07588,0.46837,0.60246,0.53916,0.38634,0.99546,3.04018,1.11725,0.000802,0.000802,0.000802
32,366.816,0.96457,2.43094,1.08809,0.42731,0.60954,0.53329,0.38865,0.98838,3.01837,1.1044,0.0007954,0.0007954,0.0007954
33,377.214,0.93853,2.47502,1.06264,0.51898,0.53222,0.53953,0.38088,0.97098,2.95111,1.09785,0.0007888,0.0007888,0.0007888
34,387.639,0.92874,2.31184,1.06804,0.50355,0.56974,0.54131,0.37713,0.9584,3.0003,1.08154,0.0007822,0.0007822,0.0007822
35,398.215,0.90654,2.38963,1.04676,0.45229,0.56751,0.51164,0.3703,0.96042,3.2523,1.07451,0.0007756,0.0007756,0.0007756
36,408.631,0.89499,2.21559,1.04401,0.48342,0.61401,0.55405,0.39531,0.97476,2.97986,1.09203,0.000769,0.000769,0.000769
37,419.156,0.90781,2.19362,1.03167,0.5633,0.53809,0.54277,0.39027,0.93545,3.09845,1.06532,0.0007624,0.0007624,0.0007624
38,429.569,0.85364,2.09952,1.028,0.51561,0.61552,0.55716,0.40879,0.97373,2.99422,1.09468,0.0007558,0.0007558,0.0007558
39,439.945,0.91813,2.23613,1.06994,0.44961,0.60671,0.54581,0.39657,0.95863,3.09655,1.09164,0.0007492,0.0007492,0.0007492
40,450.226,0.89194,2.33861,1.04403,0.54291,0.5344,0.54147,0.39599,0.95742,3.06507,1.08326,0.0007426,0.0007426,0.0007426
41,460.757,0.91759,2.2139,1.03648,0.48749,0.5792,0.5418,0.3937,0.97426,2.94595,1.10424,0.000736,0.000736,0.000736
42,471.252,0.94471,2.34343,1.08032,0.49928,0.58848,0.54763,0.39316,0.96086,2.97088,1.10684,0.0007294,0.0007294,0.0007294
43,481.727,0.87132,2.07089,1.04123,0.50042,0.56245,0.52705,0.38158,0.986,3.17467,1.11406,0.0007228,0.0007228,0.0007228
44,492.007,0.82579,2.00058,1.00566,0.44939,0.57998,0.50639,0.36859,0.9362,3.20266,1.08289,0.0007162,0.0007162,0.0007162
45,502.323,0.89486,2.1811,1.03794,0.52038,0.5294,0.51604,0.37544,0.95802,3.14875,1.08849,0.0007096,0.0007096,0.0007096
46,512.631,0.87574,1.98763,1.01828,0.52271,0.58673,0.54871,0.39248,0.96554,3.15327,1.08157,0.000703,0.000703,0.000703
47,523.031,0.85868,1.98274,1.0259,0.46734,0.60074,0.53602,0.39133,0.94755,3.14051,1.07771,0.0006964,0.0006964,0.0006964
48,533.396,0.88678,2.06593,1.02645,0.47544,0.58219,0.53446,0.38657,0.96357,3.24464,1.08491,0.0006898,0.0006898,0.0006898
49,543.856,0.89495,2.04527,1.03928,0.44043,0.65556,0.54574,0.40031,0.94353,3.30964,1.07894,0.0006832,0.0006832,0.0006832
50,554.431,0.86758,1.9592,1.03844,0.50321,0.55603,0.53521,0.38578,0.96862,3.04601,1.0877,0.0006766,0.0006766,0.0006766
51,564.871,0.8194,1.89802,0.99756,0.51405,0.5948,0.5576,0.40121,0.96776,3.10569,1.1016,0.00067,0.00067,0.00067
52,575.281,0.84324,1.96905,0.99947,0.49903,0.55939,0.54519,0.39733,0.96898,3.01836,1.10215,0.0006634,0.0006634,0.0006634
53,586.065,0.8088,1.90641,1.00789,0.53485,0.5471,0.55886,0.40886,0.94742,2.96187,1.08841,0.0006568,0.0006568,0.0006568
54,596.978,0.86715,1.88381,1.018,0.47186,0.62372,0.54665,0.39477,0.98767,2.88453,1.10722,0.0006502,0.0006502,0.0006502
55,607.597,0.80532,1.9065,0.99331,0.46658,0.64766,0.55062,0.40347,0.94882,3.01876,1.08171,0.0006436,0.0006436,0.0006436
56,618.045,0.87393,1.94968,1.0148,0.49913,0.55309,0.52175,0.37508,0.96302,3.30067,1.09592,0.000637,0.000637,0.000637
57,628.356,0.82405,1.91876,0.99885,0.49193,0.54146,0.51202,0.37035,0.95969,3.39847,1.09377,0.0006304,0.0006304,0.0006304
